contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
NODE_39_length_5793_cov_34.334500	5793	10	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_40_length_5784_cov_29.101104	5784	4	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_41_length_5767_cov_3.423902	5767	6	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_42_length_5759_cov_4.112636	5759	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_43_length_5726_cov_4.725615	5726	6	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_44_length_5714_cov_4.295370	5714	6	1	3	Yes	2069	3645	host,viral	3645,2069	1-3645,3646-5714	1-3,4-6	0,1	3,0
NODE_45_length_5705_cov_43.921997	5705	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_46_length_5686_cov_34.477982	5686	5	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_47_length_5659_cov_28.663741	5659	5	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_48_length_5626_cov_4.317535	5626	5	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_49_length_5624_cov_37.833604	5624	4	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_50_length_5583_cov_5.092263	5583	7	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_51_length_5571_cov_39.162359	5571	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_52_length_5569_cov_5.481428	5569	7	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_53_length_5565_cov_30.039541	5565	10	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_54_length_5545_cov_48.761704	5545	7	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_55_length_5544_cov_4.974758	5544	4	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_56_length_5544_cov_4.918785	5544	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_57_length_5537_cov_5.627473	5537	6	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_58_length_5519_cov_70.470967	5519	5	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_59_length_5496_cov_42.088208	5496	7	0	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_60_length_5486_cov_37.269921	5486	4	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_61_length_5474_cov_4.432648	5474	4	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_62_length_5460_cov_31.561397	5460	7	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_63_length_5459_cov_33.304534	5459	7	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_64_length_5444_cov_36.766723	5444	5	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_65_length_5423_cov_33.578750	5423	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_66_length_5420_cov_39.276249	5420	5	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_67_length_5418_cov_30.623853	5418	7	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_68_length_5416_cov_4.733283	5416	3	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_69_length_5394_cov_68.832989	5394	8	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_70_length_5389_cov_5.557417	5389	2	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_71_length_5362_cov_40.582592	5362	6	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_72_length_5360_cov_3.985614	5360	13	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_73_length_5328_cov_36.511712	5328	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_74_length_5319_cov_4.930370	5319	5	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_75_length_5304_cov_4.190932	5304	8	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_76_length_5277_cov_27.544808	5277	5	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_77_length_5241_cov_4.052866	5241	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_78_length_5229_cov_4.903144	5229	5	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_79_length_5224_cov_31.890422	5224	5	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_80_length_5212_cov_41.441870	5212	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_81_length_5203_cov_53.517948	5203	5	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_82_length_5194_cov_5.545437	5194	4	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_83_length_5191_cov_4.858623	5191	5	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_84_length_5171_cov_36.721830	5171	5	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_85_length_5171_cov_4.620141	5171	6	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_86_length_5158_cov_33.847077	5158	2	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_87_length_5145_cov_40.023481	5145	5	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_88_length_5144_cov_34.969213	5144	5	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_89_length_5133_cov_33.195807	5133	6	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_90_length_5130_cov_3.288146	5130	6	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_91_length_5121_cov_44.353093	5121	5	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_92_length_5103_cov_4.224234	5103	4	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_93_length_5091_cov_4.318109	5091	6	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_94_length_5091_cov_4.061627	5091	5	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_95_length_5086_cov_27.174885	5086	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_96_length_5058_cov_3.666332	5058	11	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_97_length_5053_cov_33.203175	5053	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_98_length_5043_cov_4.711438	5043	4	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_99_length_5026_cov_4.736917	5026	5	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_100_length_5017_cov_38.690081	5017	5	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_101_length_5014_cov_5.193640	5014	4	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_102_length_5005_cov_36.281047	5005	5	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_103_length_5002_cov_4.271878	5002	6	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
