contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
NODE_79_length_5224_cov_31.890422	5224	NA	132831.3334953816	3.9328070136265194	low	49.9465203540642	2	CheckV-060767	20.7	41.51	NA	NA	0	1.0
NODE_80_length_5212_cov_41.441870	5212	NA	120690.67426115338	4.318477821013866	low	15.8221246969266	13	CheckV-038942	55.1	16.61	NA	NA	0	1.0
NODE_81_length_5203_cov_53.517948	5203	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_82_length_5194_cov_5.545437	5194	NA	1059119.3343935935	0.4904074386456048	low	13.1821249631444	18	CheckV-000719	39.0	33.44	NA	NA	0	1.01
NODE_83_length_5191_cov_4.858623	5191	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_84_length_5171_cov_36.721830	5171	NA	55882.732484076434	9.25330557426385	low	18.451911776551	2	CheckV-047990	52.5	12.99	NA	NA	0	1.0
NODE_85_length_5171_cov_4.620141	5171	NA	285035.16253173095	1.8141621384780375	low	13.9757982883961	210	CheckV-051389	40.2	31.45	NA	NA	0	1.0
NODE_86_length_5158_cov_33.847077	5158	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_87_length_5145_cov_40.023481	5145	NA	59069.00000000001	8.710152533477796	low	27.3188716901985	1	CheckV-028327	25.5	21.49	NA	NA	0	1.0
NODE_88_length_5144_cov_34.969213	5144	NA	51967.0	9.898589489483712	high	1.60320641282565	1	CheckV-054193	84.66	100.0	NA	NA	0	1.0
NODE_89_length_5133_cov_33.195807	5133	NA	135495.70731707316	3.788311896839861	low	26.2236590521136	2	CheckV-003439	23.1	30.51	NA	NA	0	1.0
NODE_90_length_5130_cov_3.288146	5130	NA	47739.0	10.745930999811474	low	25.7423874966316	1	CheckV-048420	36.1	14.31	NA	NA	0	1.01
NODE_91_length_5121_cov_44.353093	5121	NA	155436.74635386327	3.2945877471866685	medium	9.04973946797384	12	CheckV-011287	35.74	43.01	NA	NA	0	1.0
NODE_92_length_5103_cov_4.224234	5103	NA	63577.00000000001	8.026487566258238	low	19.5078163840247	1	CheckV-017522	27.5	39.78	NA	NA	0	1.0
NODE_93_length_5091_cov_4.318109	5091	NA	239225.70838657292	2.1281157591028137	low	14.6911520575663	31	CheckV-040179	35.27	34.89	NA	NA	0	1.0
NODE_94_length_5091_cov_4.061627	5091	NA	86986.71470480382	5.852617859263572	low	25.4390035413359	2	CheckV-041701	42.5	16.84	NA	NA	0	1.0
NODE_95_length_5086_cov_27.174885	5086	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.05
NODE_96_length_5058_cov_3.666332	5058	NA	44825.15065176547	11.283843838683868	medium	5.51537070524412	6	CheckV-053865	55.94	37.61	4.74	15.409999999999998	1	1.01
NODE_97_length_5053_cov_33.203175	5053	NA	36613.5	13.800920425526103	low	10.5109807662868	2	CheckV-054184	84.6	15.76	NA	NA	0	1.0
NODE_98_length_5043_cov_4.711438	5043	NA	391739.0	1.2873367216437475	low	27.3188716901985	1	CheckV-014375	27.0	22.12	NA	NA	0	1.01
NODE_99_length_5026_cov_4.736917	5026	NA	107723.7833095359	4.6656363577188715	low	16.0458909824481	26	CheckV-000598	32.7	31.25	NA	NA	0	1.0
NODE_100_length_5017_cov_38.690081	5017	NA	187367.49087321167	2.677625652464395	low	23.3876629889669	3	CheckV-044049	23.5	36.43	NA	NA	0	1.0
NODE_101_length_5014_cov_5.193640	5014	NA	186732.76292654016	2.6851206619657235	high	4.4433398762223	185	CheckV-001138	49.61	91.71	NA	NA	0	1.0
NODE_102_length_5005_cov_36.281047	5005	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_103_length_5002_cov_4.271878	5002	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
