contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
NODE_62_length_5460_cov_31.561397	5460	No	NA	7	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_63_length_5459_cov_33.304534	5459	No	NA	7	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_64_length_5444_cov_36.766723	5444	No	NA	5	0	3	Low-quality	Genome-fragment	1.53	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
NODE_65_length_5423_cov_33.578750	5423	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_66_length_5420_cov_39.276249	5420	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_67_length_5418_cov_30.623853	5418	No	NA	7	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_68_length_5416_cov_4.733283	5416	No	NA	3	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_69_length_5394_cov_68.832989	5394	No	NA	8	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
NODE_70_length_5389_cov_5.557417	5389	No	NA	2	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_71_length_5362_cov_40.582592	5362	No	NA	6	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_72_length_5360_cov_3.985614	5360	No	NA	13	9	0	Low-quality	Genome-fragment	13.47	AAI-based (high-confidence)	0.0	1.0	
NODE_73_length_5328_cov_36.511712	5328	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_74_length_5319_cov_4.930370	5319	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_75_length_5304_cov_4.190932	5304	No	NA	8	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_76_length_5277_cov_27.544808	5277	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.05	no viral genes detected
NODE_77_length_5241_cov_4.052866	5241	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_78_length_5229_cov_4.903144	5229	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_79_length_5224_cov_31.890422	5224	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_80_length_5212_cov_41.441870	5212	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_81_length_5203_cov_53.517948	5203	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_82_length_5194_cov_5.545437	5194	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
NODE_83_length_5191_cov_4.858623	5191	No	NA	5	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_84_length_5171_cov_36.721830	5171	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_85_length_5171_cov_4.620141	5171	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_86_length_5158_cov_33.847077	5158	No	NA	2	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_87_length_5145_cov_40.023481	5145	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_88_length_5144_cov_34.969213	5144	No	NA	5	0	2	Low-quality	Genome-fragment	9.9	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NODE_89_length_5133_cov_33.195807	5133	No	NA	6	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_90_length_5130_cov_3.288146	5130	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
NODE_91_length_5121_cov_44.353093	5121	No	NA	5	0	5	Low-quality	Genome-fragment	3.29	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
NODE_92_length_5103_cov_4.224234	5103	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_93_length_5091_cov_4.318109	5091	No	NA	6	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_94_length_5091_cov_4.061627	5091	No	NA	5	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_95_length_5086_cov_27.174885	5086	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.05	no viral genes detected
NODE_96_length_5058_cov_3.666332	5058	No	NA	11	1	0	Low-quality	Genome-fragment	11.28	AAI-based (medium-confidence)	0.0	1.01	
NODE_97_length_5053_cov_33.203175	5053	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_98_length_5043_cov_4.711438	5043	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
NODE_99_length_5026_cov_4.736917	5026	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_100_length_5017_cov_38.690081	5017	No	NA	5	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_101_length_5014_cov_5.193640	5014	No	NA	4	0	1	Low-quality	Genome-fragment	2.69	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NODE_102_length_5005_cov_36.281047	5005	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_103_length_5002_cov_4.271878	5002	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
