locus_tag	ftype	length_bp	gene	EC_number	COG	product
BOPHJHGO_00136	CDS	537				hypothetical protein
BOPHJHGO_00137	CDS	1383				hypothetical protein
BOPHJHGO_00138	CDS	837				hypothetical protein
BOPHJHGO_00139	CDS	723				hypothetical protein
BOPHJHGO_00140	CDS	774				hypothetical protein
BOPHJHGO_00141	CDS	1128				hypothetical protein
BOPHJHGO_00142	CDS	1650				hypothetical protein
BOPHJHGO_00143	CDS	891				hypothetical protein
BOPHJHGO_00144	CDS	756				hypothetical protein
BOPHJHGO_00145	CDS	1566				hypothetical protein
BOPHJHGO_00146	CDS	429				hypothetical protein
BOPHJHGO_00147	CDS	411				hypothetical protein
BOPHJHGO_00148	CDS	798				hypothetical protein
BOPHJHGO_00149	CDS	1374				hypothetical protein
BOPHJHGO_00150	CDS	675				hypothetical protein
BOPHJHGO_00151	CDS	1878				hypothetical protein
BOPHJHGO_00152	CDS	1140				hypothetical protein
BOPHJHGO_00153	CDS	1251				hypothetical protein
BOPHJHGO_00154	CDS	537				hypothetical protein
BOPHJHGO_00155	CDS	390				hypothetical protein
BOPHJHGO_00156	CDS	924				hypothetical protein
BOPHJHGO_00157	CDS	1506				hypothetical protein
BOPHJHGO_00158	CDS	921				hypothetical protein
BOPHJHGO_00159	CDS	948				hypothetical protein
BOPHJHGO_00160	CDS	1041				hypothetical protein
BOPHJHGO_00161	CDS	297				hypothetical protein
BOPHJHGO_00162	CDS	2808				hypothetical protein
BOPHJHGO_00163	CDS	918				hypothetical protein
BOPHJHGO_00164	CDS	216				hypothetical protein
BOPHJHGO_00165	CDS	582				hypothetical protein
BOPHJHGO_00166	CDS	624				hypothetical protein
BOPHJHGO_00167	CDS	786				hypothetical protein
BOPHJHGO_00168	CDS	198				hypothetical protein
BOPHJHGO_00169	CDS	366				hypothetical protein
BOPHJHGO_00170	CDS	867				hypothetical protein
BOPHJHGO_00171	CDS	246				hypothetical protein
BOPHJHGO_00172	CDS	213				hypothetical protein
BOPHJHGO_00173	CDS	1152				hypothetical protein
BOPHJHGO_00174	CDS	1434				hypothetical protein
BOPHJHGO_00175	CDS	630				hypothetical protein
BOPHJHGO_00176	CDS	891				hypothetical protein
BOPHJHGO_00177	CDS	837				hypothetical protein
BOPHJHGO_00178	CDS	363				hypothetical protein
BOPHJHGO_00179	CDS	537				hypothetical protein
BOPHJHGO_00180	CDS	492				hypothetical protein
BOPHJHGO_00181	CDS	492				hypothetical protein
BOPHJHGO_00182	CDS	537				hypothetical protein
BOPHJHGO_00183	CDS	363				hypothetical protein
BOPHJHGO_00184	CDS	837				hypothetical protein
BOPHJHGO_00185	CDS	1086				hypothetical protein
BOPHJHGO_00186	CDS	474				hypothetical protein
BOPHJHGO_00187	CDS	3753				hypothetical protein
BOPHJHGO_00188	CDS	1833				hypothetical protein
BOPHJHGO_00189	CDS	1500				hypothetical protein
BOPHJHGO_00190	CDS	1401				hypothetical protein
BOPHJHGO_00191	CDS	1119				hypothetical protein
BOPHJHGO_00192	CDS	483				hypothetical protein
BOPHJHGO_00193	CDS	261				hypothetical protein
BOPHJHGO_00194	CDS	546				hypothetical protein
BOPHJHGO_00195	CDS	414				hypothetical protein
BOPHJHGO_00196	CDS	720				hypothetical protein
BOPHJHGO_00197	CDS	1719				hypothetical protein
BOPHJHGO_00198	CDS	708				hypothetical protein
BOPHJHGO_00199	CDS	408				hypothetical protein
BOPHJHGO_00200	CDS	312				hypothetical protein
BOPHJHGO_00201	CDS	258				hypothetical protein
BOPHJHGO_00202	CDS	696				hypothetical protein
BOPHJHGO_00203	CDS	789				hypothetical protein
BOPHJHGO_00204	CDS	1272				hypothetical protein
BOPHJHGO_00205	CDS	3420				hypothetical protein
BOPHJHGO_00206	CDS	1005				hypothetical protein
BOPHJHGO_00207	CDS	852				hypothetical protein
BOPHJHGO_00208	CDS	420				hypothetical protein
BOPHJHGO_00209	CDS	861				hypothetical protein
BOPHJHGO_00210	CDS	816				hypothetical protein
BOPHJHGO_00211	CDS	840				hypothetical protein
BOPHJHGO_00212	CDS	3168				hypothetical protein
BOPHJHGO_00213	CDS	393				hypothetical protein
BOPHJHGO_00214	CDS	1539				hypothetical protein
BOPHJHGO_00215	CDS	753				hypothetical protein
BOPHJHGO_00216	CDS	645				hypothetical protein
BOPHJHGO_00217	CDS	1206				hypothetical protein
BOPHJHGO_00218	CDS	921				hypothetical protein
BOPHJHGO_00219	CDS	3159				hypothetical protein
BOPHJHGO_00220	CDS	1218				hypothetical protein
BOPHJHGO_00221	CDS	996				hypothetical protein
BOPHJHGO_00222	CDS	483				hypothetical protein
BOPHJHGO_00223	CDS	1065				hypothetical protein
BOPHJHGO_00224	CDS	393				hypothetical protein
BOPHJHGO_00225	CDS	552				hypothetical protein
BOPHJHGO_00226	CDS	384				hypothetical protein
BOPHJHGO_00227	CDS	234				hypothetical protein
BOPHJHGO_00228	CDS	411				hypothetical protein
BOPHJHGO_00229	CDS	213				hypothetical protein
BOPHJHGO_00230	CDS	1137				hypothetical protein
BOPHJHGO_00231	CDS	378				hypothetical protein
BOPHJHGO_00232	CDS	585				hypothetical protein
BOPHJHGO_00233	CDS	834				hypothetical protein
BOPHJHGO_00234	CDS	1680				hypothetical protein
BOPHJHGO_00235	CDS	1455				hypothetical protein
BOPHJHGO_00236	CDS	888				hypothetical protein
BOPHJHGO_00237	CDS	1176				hypothetical protein
BOPHJHGO_00238	CDS	1212				hypothetical protein
BOPHJHGO_00239	CDS	1338				hypothetical protein
BOPHJHGO_00240	CDS	498				hypothetical protein
BOPHJHGO_00241	CDS	561				hypothetical protein
BOPHJHGO_00242	CDS	918				hypothetical protein
BOPHJHGO_00243	CDS	1056				hypothetical protein
BOPHJHGO_00244	CDS	363				hypothetical protein
BOPHJHGO_00245	CDS	390				hypothetical protein
BOPHJHGO_00246	CDS	1320				hypothetical protein
BOPHJHGO_00247	CDS	1164				hypothetical protein
BOPHJHGO_00248	CDS	972				hypothetical protein
BOPHJHGO_00249	CDS	645				hypothetical protein
BOPHJHGO_00250	CDS	441				hypothetical protein
BOPHJHGO_00251	CDS	588				hypothetical protein
BOPHJHGO_00252	CDS	1872				hypothetical protein
BOPHJHGO_00253	CDS	792				hypothetical protein
BOPHJHGO_00254	CDS	645				hypothetical protein
BOPHJHGO_00255	CDS	189				hypothetical protein
BOPHJHGO_00256	CDS	465				hypothetical protein
BOPHJHGO_00257	CDS	1113				hypothetical protein
BOPHJHGO_00258	CDS	1104				hypothetical protein
BOPHJHGO_00259	CDS	1371				hypothetical protein
BOPHJHGO_00260	CDS	984				hypothetical protein
BOPHJHGO_00261	CDS	1392				hypothetical protein
BOPHJHGO_00262	CDS	273				hypothetical protein
BOPHJHGO_00263	CDS	2259				hypothetical protein
BOPHJHGO_00264	CDS	759				hypothetical protein
BOPHJHGO_00265	CDS	279				hypothetical protein
BOPHJHGO_00266	CDS	942				hypothetical protein
BOPHJHGO_00267	CDS	1389				hypothetical protein
BOPHJHGO_00268	CDS	753				hypothetical protein
BOPHJHGO_00269	CDS	1338				hypothetical protein
BOPHJHGO_00270	CDS	339				hypothetical protein
BOPHJHGO_00271	CDS	426				hypothetical protein
BOPHJHGO_00272	CDS	1578				hypothetical protein
BOPHJHGO_00273	CDS	1788				hypothetical protein
BOPHJHGO_00274	CDS	1176				hypothetical protein
BOPHJHGO_00275	CDS	378				hypothetical protein
BOPHJHGO_00276	CDS	651				hypothetical protein
BOPHJHGO_00277	CDS	2661				hypothetical protein
BOPHJHGO_00278	CDS	267				hypothetical protein
BOPHJHGO_00279	CDS	1527				hypothetical protein
BOPHJHGO_00280	CDS	363				hypothetical protein
BOPHJHGO_00281	CDS	1062				hypothetical protein
BOPHJHGO_00282	CDS	882				hypothetical protein
BOPHJHGO_00283	CDS	960				hypothetical protein
BOPHJHGO_00284	CDS	312				hypothetical protein
BOPHJHGO_00285	CDS	756				hypothetical protein
BOPHJHGO_00286	CDS	1434				hypothetical protein
BOPHJHGO_00287	CDS	360				hypothetical protein
BOPHJHGO_00288	CDS	618				hypothetical protein
BOPHJHGO_00289	CDS	261				hypothetical protein
BOPHJHGO_00290	CDS	507				hypothetical protein
BOPHJHGO_00291	CDS	1419				hypothetical protein
BOPHJHGO_00292	CDS	708				hypothetical protein
BOPHJHGO_00293	CDS	948				hypothetical protein
BOPHJHGO_00294	CDS	669				hypothetical protein
BOPHJHGO_00295	CDS	582				hypothetical protein
BOPHJHGO_00296	CDS	219				hypothetical protein
BOPHJHGO_00297	CDS	435				hypothetical protein
BOPHJHGO_00298	CDS	108				hypothetical protein
BOPHJHGO_00299	CDS	228				hypothetical protein
BOPHJHGO_00300	CDS	618				hypothetical protein
BOPHJHGO_00301	CDS	768				hypothetical protein
BOPHJHGO_00302	CDS	894				hypothetical protein
BOPHJHGO_00303	CDS	777				hypothetical protein
BOPHJHGO_00304	CDS	1293				hypothetical protein
BOPHJHGO_00305	CDS	198				hypothetical protein
BOPHJHGO_00306	CDS	1371				hypothetical protein
BOPHJHGO_00307	CDS	957				hypothetical protein
BOPHJHGO_00308	CDS	204				hypothetical protein
BOPHJHGO_00309	CDS	705				hypothetical protein
BOPHJHGO_00310	CDS	702				hypothetical protein
BOPHJHGO_00311	CDS	750				hypothetical protein
BOPHJHGO_00312	CDS	933				hypothetical protein
BOPHJHGO_00313	CDS	330				hypothetical protein
BOPHJHGO_00314	CDS	957				hypothetical protein
BOPHJHGO_00315	CDS	612				hypothetical protein
BOPHJHGO_00316	CDS	876				hypothetical protein
BOPHJHGO_00317	CDS	1842				hypothetical protein
BOPHJHGO_00318	CDS	528				hypothetical protein
BOPHJHGO_00319	CDS	393				hypothetical protein
BOPHJHGO_00320	CDS	1068				hypothetical protein
BOPHJHGO_00321	CDS	975				hypothetical protein
BOPHJHGO_00322	CDS	978				hypothetical protein
BOPHJHGO_00323	CDS	1044				hypothetical protein
BOPHJHGO_00324	CDS	1608				hypothetical protein
BOPHJHGO_00325	CDS	693				hypothetical protein
BOPHJHGO_00326	CDS	1608				hypothetical protein
BOPHJHGO_00327	CDS	1224				hypothetical protein
BOPHJHGO_00328	CDS	357				hypothetical protein
BOPHJHGO_00329	CDS	639				hypothetical protein
BOPHJHGO_00330	CDS	852				hypothetical protein
BOPHJHGO_00331	CDS	1296				hypothetical protein
BOPHJHGO_00332	CDS	423				hypothetical protein
BOPHJHGO_00333	CDS	387				hypothetical protein
BOPHJHGO_00334	CDS	2520				hypothetical protein
BOPHJHGO_00335	CDS	1164				hypothetical protein
BOPHJHGO_00336	CDS	540				hypothetical protein
BOPHJHGO_00337	CDS	1122				hypothetical protein
BOPHJHGO_00338	CDS	1119				hypothetical protein
BOPHJHGO_00339	CDS	1365				hypothetical protein
BOPHJHGO_00340	CDS	807				hypothetical protein
BOPHJHGO_00341	CDS	792				hypothetical protein
BOPHJHGO_00342	CDS	672				hypothetical protein
BOPHJHGO_00343	CDS	1047				hypothetical protein
BOPHJHGO_00344	CDS	888				hypothetical protein
BOPHJHGO_00345	CDS	933				hypothetical protein
BOPHJHGO_00346	CDS	474				hypothetical protein
BOPHJHGO_00347	CDS	1200				hypothetical protein
BOPHJHGO_00348	CDS	798				hypothetical protein
BOPHJHGO_00349	CDS	678				hypothetical protein
BOPHJHGO_00350	CDS	474				hypothetical protein
BOPHJHGO_00351	CDS	1167				hypothetical protein
BOPHJHGO_00352	CDS	174				hypothetical protein
BOPHJHGO_00353	CDS	1239				hypothetical protein
BOPHJHGO_00354	CDS	1401				hypothetical protein
BOPHJHGO_00355	CDS	1080				hypothetical protein
BOPHJHGO_00356	CDS	879				hypothetical protein
BOPHJHGO_00357	CDS	1386				hypothetical protein
BOPHJHGO_00358	CDS	948				hypothetical protein
BOPHJHGO_00359	CDS	369				hypothetical protein
BOPHJHGO_00360	CDS	381				hypothetical protein
BOPHJHGO_00361	CDS	264				hypothetical protein
BOPHJHGO_00362	CDS	345				hypothetical protein
BOPHJHGO_00363	CDS	1461				hypothetical protein
BOPHJHGO_00364	CDS	1281				hypothetical protein
BOPHJHGO_00365	CDS	1461				hypothetical protein
BOPHJHGO_00366	CDS	141				hypothetical protein
BOPHJHGO_00367	CDS	852				hypothetical protein
BOPHJHGO_00368	CDS	885				hypothetical protein
BOPHJHGO_00369	CDS	432				hypothetical protein
BOPHJHGO_00370	CDS	930				hypothetical protein
BOPHJHGO_00371	CDS	927				hypothetical protein
BOPHJHGO_00372	CDS	279				hypothetical protein
BOPHJHGO_00373	CDS	2940				hypothetical protein
BOPHJHGO_00374	CDS	2061				hypothetical protein
BOPHJHGO_00375	CDS	192				hypothetical protein
BOPHJHGO_00376	CDS	246				hypothetical protein
BOPHJHGO_00377	CDS	666				hypothetical protein
BOPHJHGO_00378	CDS	558				hypothetical protein
BOPHJHGO_00379	CDS	1221				hypothetical protein
BOPHJHGO_00380	CDS	1050				hypothetical protein
BOPHJHGO_00381	CDS	381				hypothetical protein
BOPHJHGO_00382	CDS	213				hypothetical protein
BOPHJHGO_00383	tRNA	76				tRNA-Lys(ttt)
BOPHJHGO_00384	CDS	1842				hypothetical protein
BOPHJHGO_00385	CDS	2850				hypothetical protein
BOPHJHGO_00386	CDS	378				hypothetical protein
BOPHJHGO_00387	CDS	393				hypothetical protein
BOPHJHGO_00388	CDS	174				hypothetical protein
BOPHJHGO_00389	CDS	3345				hypothetical protein
BOPHJHGO_00390	CDS	705				Single-stranded DNA-binding protein
BOPHJHGO_00391	CDS	159	2			Bacterial RNA polymerase inhibitor
BOPHJHGO_00392	CDS	441				hypothetical protein
BOPHJHGO_00393	CDS	261				hypothetical protein
BOPHJHGO_00394	CDS	1068		6.5.1.1		DNA ligase
BOPHJHGO_00395	CDS	270				hypothetical protein
BOPHJHGO_00396	CDS	234				hypothetical protein
BOPHJHGO_00397	CDS	180				hypothetical protein
BOPHJHGO_00398	CDS	483				hypothetical protein
BOPHJHGO_00399	CDS	204				hypothetical protein
BOPHJHGO_00400	CDS	240	1	2.7.7.6		T7 RNA polymerase
BOPHJHGO_00401	CDS	1017				hypothetical protein
BOPHJHGO_00402	CDS	834				hypothetical protein
BOPHJHGO_00403	CDS	876				hypothetical protein
BOPHJHGO_00404	CDS	1095				hypothetical protein
BOPHJHGO_00405	CDS	771				hypothetical protein
BOPHJHGO_00406	CDS	180				hypothetical protein
BOPHJHGO_00407	CDS	123				hypothetical protein
BOPHJHGO_00408	CDS	501				hypothetical protein
BOPHJHGO_00409	CDS	2268				hypothetical protein
BOPHJHGO_00410	CDS	1260				hypothetical protein
BOPHJHGO_00411	CDS	372				hypothetical protein
BOPHJHGO_00412	CDS	525				hypothetical protein
BOPHJHGO_00413	CDS	297				hypothetical protein
BOPHJHGO_00414	CDS	102				hypothetical protein
BOPHJHGO_00415	CDS	1146				hypothetical protein
BOPHJHGO_00416	CDS	1587				hypothetical protein
BOPHJHGO_00417	CDS	195				hypothetical protein
BOPHJHGO_00418	CDS	279				hypothetical protein
BOPHJHGO_00419	CDS	414				hypothetical protein
BOPHJHGO_00420	CDS	459				hypothetical protein
BOPHJHGO_00421	CDS	2055				hypothetical protein
BOPHJHGO_00422	CDS	1134				hypothetical protein
BOPHJHGO_00423	CDS	1074				hypothetical protein
BOPHJHGO_00424	CDS	840				hypothetical protein
BOPHJHGO_00425	CDS	789				hypothetical protein
BOPHJHGO_00426	CDS	504				hypothetical protein
BOPHJHGO_00427	CDS	1011				hypothetical protein
BOPHJHGO_00428	CDS	1158				hypothetical protein
BOPHJHGO_00429	CDS	726				hypothetical protein
BOPHJHGO_00430	CDS	1275				hypothetical protein
BOPHJHGO_00431	CDS	399				hypothetical protein
BOPHJHGO_00432	CDS	900				hypothetical protein
BOPHJHGO_00433	CDS	750				hypothetical protein
BOPHJHGO_00434	CDS	2097				hypothetical protein
BOPHJHGO_00435	CDS	186				hypothetical protein
BOPHJHGO_00436	CDS	1437				hypothetical protein
BOPHJHGO_00437	CDS	486				hypothetical protein
BOPHJHGO_00438	CDS	1248				hypothetical protein
BOPHJHGO_00439	CDS	294				hypothetical protein
BOPHJHGO_00440	CDS	1620				hypothetical protein
BOPHJHGO_00441	CDS	933				hypothetical protein
BOPHJHGO_00442	CDS	978				hypothetical protein
BOPHJHGO_00443	CDS	705				hypothetical protein
BOPHJHGO_00444	CDS	882				hypothetical protein
BOPHJHGO_00445	CDS	1905				hypothetical protein
BOPHJHGO_00446	CDS	1077				hypothetical protein
BOPHJHGO_00447	CDS	945				hypothetical protein
BOPHJHGO_00448	CDS	681				hypothetical protein
BOPHJHGO_00449	CDS	459				hypothetical protein
BOPHJHGO_00450	CDS	1233				hypothetical protein
BOPHJHGO_00451	CDS	1086				hypothetical protein
BOPHJHGO_00452	CDS	1380				hypothetical protein
BOPHJHGO_00453	CDS	675				hypothetical protein
BOPHJHGO_00454	CDS	1755				hypothetical protein
BOPHJHGO_00455	CDS	1167				hypothetical protein
BOPHJHGO_00456	CDS	1320				hypothetical protein
BOPHJHGO_00457	CDS	318				hypothetical protein
BOPHJHGO_00458	CDS	786				hypothetical protein
BOPHJHGO_00459	CDS	483				hypothetical protein
BOPHJHGO_00460	CDS	1764				hypothetical protein
BOPHJHGO_00461	CDS	1524				hypothetical protein
BOPHJHGO_00462	CDS	999				hypothetical protein
BOPHJHGO_00463	CDS	996				hypothetical protein
BOPHJHGO_00464	CDS	984				hypothetical protein
BOPHJHGO_00465	CDS	789				hypothetical protein
BOPHJHGO_00466	CDS	543				hypothetical protein
BOPHJHGO_00467	CDS	1428				hypothetical protein
BOPHJHGO_00468	CDS	636				hypothetical protein
BOPHJHGO_00469	CDS	894				hypothetical protein
BOPHJHGO_00470	CDS	1314				hypothetical protein
BOPHJHGO_00471	CDS	327				hypothetical protein
BOPHJHGO_00472	CDS	501				hypothetical protein
BOPHJHGO_00473	CDS	1383				hypothetical protein
BOPHJHGO_00474	CDS	516				hypothetical protein
BOPHJHGO_00475	CDS	690				hypothetical protein
BOPHJHGO_00476	CDS	642				hypothetical protein
BOPHJHGO_00477	CDS	1305				hypothetical protein
BOPHJHGO_00478	CDS	606				hypothetical protein
BOPHJHGO_00479	CDS	774				hypothetical protein
BOPHJHGO_00480	CDS	1047				hypothetical protein
BOPHJHGO_00481	CDS	1086				hypothetical protein
BOPHJHGO_00482	CDS	1353				hypothetical protein
BOPHJHGO_00483	CDS	1641				hypothetical protein
BOPHJHGO_00484	CDS	903				hypothetical protein
BOPHJHGO_00485	CDS	1134				hypothetical protein
BOPHJHGO_00486	CDS	567				hypothetical protein
BOPHJHGO_00487	CDS	621				hypothetical protein
BOPHJHGO_00488	CDS	792				hypothetical protein
BOPHJHGO_00489	CDS	798				hypothetical protein
BOPHJHGO_00490	CDS	378				hypothetical protein
BOPHJHGO_00491	CDS	870				hypothetical protein
BOPHJHGO_00492	CDS	780				hypothetical protein
BOPHJHGO_00493	CDS	732				hypothetical protein
BOPHJHGO_00494	CDS	1269				hypothetical protein
BOPHJHGO_00495	CDS	750				hypothetical protein
BOPHJHGO_00496	CDS	600				hypothetical protein
BOPHJHGO_00497	CDS	495				hypothetical protein
BOPHJHGO_00498	CDS	345				hypothetical protein
BOPHJHGO_00499	CDS	609				hypothetical protein
BOPHJHGO_00500	CDS	612				hypothetical protein
BOPHJHGO_00501	CDS	657				hypothetical protein
BOPHJHGO_00502	CDS	648	C2			Repressor protein C2
BOPHJHGO_00503	CDS	186				hypothetical protein
BOPHJHGO_00504	CDS	264				hypothetical protein
BOPHJHGO_00505	CDS	276				hypothetical protein
BOPHJHGO_00506	CDS	294				hypothetical protein
BOPHJHGO_00507	CDS	429				hypothetical protein
BOPHJHGO_00508	CDS	1035				hypothetical protein
BOPHJHGO_00509	CDS	420				hypothetical protein
BOPHJHGO_00510	CDS	486				hypothetical protein
BOPHJHGO_00511	CDS	693				hypothetical protein
BOPHJHGO_00512	CDS	468				hypothetical protein
BOPHJHGO_00513	CDS	297				hypothetical protein
BOPHJHGO_00514	CDS	429				hypothetical protein
BOPHJHGO_00515	CDS	213				hypothetical protein
BOPHJHGO_00516	CDS	300				hypothetical protein
BOPHJHGO_00517	tRNA	76				tRNA-Met(cat)
BOPHJHGO_00518	CDS	507				hypothetical protein
BOPHJHGO_00519	CDS	162				hypothetical protein
BOPHJHGO_00520	CDS	567				hypothetical protein
BOPHJHGO_00521	CDS	705				hypothetical protein
BOPHJHGO_00522	CDS	1788				hypothetical protein
BOPHJHGO_00523	CDS	993				hypothetical protein
BOPHJHGO_00524	CDS	519				hypothetical protein
BOPHJHGO_00525	CDS	1212				hypothetical protein
BOPHJHGO_00526	CDS	1032				hypothetical protein
BOPHJHGO_00527	CDS	1470				hypothetical protein
